Student_ID,Branch,Python_Score,SQL_Score,Aptitude_Score,Communication_Score,Projects_Completed,Mock_Interviews_Attended
S0001,CSE,79,95,100,80,6,4
S0002,CSE,51,60,49,36,4,4
S0003,IT,73,63,83,44,1,7
S0004,IT,30,40,45,41,2,1
S0005,ECE,75,100,68,85,4,6
S0006,CSE,46,26,63,39,1,5
S0007,CSE,55,72,54,41,4,2
S0008,CSE,70,63,56,74,4,3
S0009,CSE,39,35,30,26,1,0
S0010,CSE,66,51,45,47,0,5
S0011,CSE,69,65,51,31,3,4
S0012,CSE,71,85,59,61,4,4
S0013,CSE,84,99,70,62,3,6
S0014,ECE,55,71,51,36,4,2
S0015,MECH,81,51,78,41,2,3
S0016,CSE,72,65,51,39,2,4
S0017,ECE,93,68,79,82,3,4
S0018,CSE,59,57,56,66,4,6
S0019,IT,94,76,80,75,1,6
S0020,IT,71,74,74,81,2,5
S0021,CSE,53,64,57,43,4,3
S0022,ECE,71,81,76,60,4,3
S0023,CSE,67,51,39,40,3,1
S0024,MECH,43,54,68,50,2,3
S0025,CSE,42,38,48,53,3,7
S0026,CSE,79,68,80,48,3,5
S0027,CSE,44,47,24,30,1,5
S0028,CSE,63,54,62,46,2,5
S0029,CSE,96,76,93,60,6,6
S0030,CSE,37,43,54,0,3,1
S0031,CSE,100,94,100,86,5,4
S0032,CSE,54,85,75,47,5,2
S0033,ECE,62,77,97,43,3,3
S0034,ECE,84,71,91,54,6,7
S0035,IT,63,62,77,52,1,3
S0036,CSE,73,62,73,66,1,4
S0037,CSE,63,72,78,61,3,5
S0038,CSE,52,79,47,46,1,4
S0039,ECE,69,64,69,38,1,4
S0040,ECE,36,50,44,40,1,1
S0041,IT,77,74,71,84,3,3
S0042,MECH,59,51,45,19,1,3
S0043,CSE,37,53,43,11,2,2
S0044,ECE,44,58,70,38,3,4
S0045,CSE,88,69,68,87,1,3
S0046,IT,70,69,46,64,5,2
S0047,CSE,63,77,52,39,1,2
S0048,CSE,80,100,95,84,4,6
S0049,MECH,60,66,61,68,3,1
S0050,ECE,78,83,87,56,3,4
S0051,IT,76,74,65,68,2,5
S0052,IT,80,93,58,66,2,5
S0053,ECE,78,60,74,80,3,3
S0054,MECH,50,69,65,63,1,2
S0055,CSE,90,95,60,63,5,3
S0056,ECE,78,59,77,65,2,5
S0057,ECE,83,69,50,37,2,3
S0058,MECH,36,50,42,48,3,1
S0059,MECH,55,72,50,47,4,4
S0060,IT,93,84,87,88,4,4
S0061,IT,71,57,75,52,3,3
S0062,IT,61,75,48,40,4,3
S0063,CSE,54,57,62,43,5,2
S0064,ECE,56,65,87,48,4,1
S0065,ECE,76,77,64,63,2,4
S0066,MECH,35,11,21,21,0,0
S0067,IT,61,78,69,50,1,5
S0068,ECE,34,35,59,36,3,2
S0069,CSE,77,96,72,57,4,3
S0070,CSE,98,100,85,64,3,5
S0071,CSE,48,49,56,51,2,3
S0072,CSE,54,45,70,42,6,1
S0073,MECH,74,61,86,77,2,1
S0074,MECH,76,83,79,44,2,5
S0075,ECE,62,71,69,78,2,8
S0076,CSE,100,64,66,52,3,4
S0077,ECE,59,56,61,76,1,7
S0078,CSE,80,77,59,35,2,0
S0079,CSE,45,51,64,19,3,2
S0080,IT,24,42,58,4,1,4
S0081,IT,71,73,45,61,3,1
S0082,CSE,60,41,58,36,5,0
S0083,CSE,78,94,71,38,4,6
S0084,IT,88,90,81,86,2,3
S0085,MECH,44,42,40,20,2,2
S0086,CSE,66,55,50,43,3,4
S0087,IT,71,74,43,52,3,0
S0088,CSE,79,78,61,73,2,3
S0089,IT,57,56,74,74,3,7
S0090,CSE,59,75,65,40,4,3
S0091,CSE,80,84,64,33,3,0
S0092,IT,71,74,61,51,4,0
S0093,ECE,57,61,78,56,5,3
S0094,IT,70,69,62,68,2,7
S0095,CSE,56,86,42,47,1,1
S0096,ECE,48,59,52,52,3,4
S0097,CSE,69,49,62,50,4,2
S0098,MECH,75,66,69,39,3,4
S0099,CSE,55,63,85,41,0,2
S0100,CSE,69,77,72,59,2,3
S0101,ECE,68,71,62,52,2,5
S0102,ECE,75,57,100,15,4,5
S0103,ECE,65,66,89,24,3,6
S0104,ECE,69,89,95,87,4,5
S0105,MECH,100,99,100,80,5,8
S0106,CSE,70,50,69,43,2,4
S0107,CSE,41,51,26,29,2,1
S0108,CSE,91,82,69,76,4,4
S0109,IT,65,70,56,29,5,4
S0110,CSE,53,71,37,31,3,3
S0111,CSE,72,63,59,52,2,4
S0112,CSE,75,77,76,48,4,3
S0113,IT,44,45,70,35,2,2
S0114,ECE,61,76,74,60,4,2
S0115,IT,75,65,63,58,5,4
S0116,CSE,63,57,49,28,2,4
S0117,CSE,83,45,82,58,2,5
S0118,IT,72,56,87,49,0,3
S0119,CSE,60,62,69,74,4,4
S0120,CSE,63,46,61,50,4,3
